hidden_neurons, epochs, accuracy, time
1, 1, 0.791517241379, 2.06603217125
1, 2, 0.791586206897, 2.35518908501
1, 4, 0.863931034483, 2.95394611359
1, 8, 0.791724137931, 4.27776694298
1, 16, 0.924275862069, 6.53026890755
1, 32, 0.928, 12.0459811687
2, 1, 0.0549655172414, 1.93467092514
2, 2, 0.866965517241, 2.31691598892
2, 4, 0.791103448276, 3.0109910965
2, 8, 0.922896551724, 4.12302184105
2, 16, 0.927379310345, 6.81554198265
2, 32, 0.0556551724138, 12.0639338493
4, 1, 0.791103448276, 1.98248100281
4, 2, 0.808137931034, 2.30592298508
4, 4, 0.148827586207, 2.93236589432
4, 8, 0.0555862068966, 4.2075009346
4, 16, 0.204344827586, 6.81657099724
4, 32, 0.995793103448, 11.8433558941
8, 1, 0.149448275862, 1.95622396469
8, 2, 0.0553793103448, 2.32384896278
8, 4, 0.058275862069, 2.98544311523
8, 8, 0.993517241379, 4.09761500359
8, 16, 0.995724137931, 6.72225308418
8, 32, 0.942689655172, 11.681456089
16, 1, 0.913862068966, 1.99234604836
16, 2, 0.973517241379, 2.27020192146
16, 4, 0.793586206897, 2.94030094147
16, 8, 0.848137931034, 4.29233598709
16, 16, 0.79124137931, 6.73407411575
16, 32, 0.792965517241, 11.711181879
32, 1, 0.792620689655, 1.97780013084
32, 2, 0.203517241379, 2.34541511536
32, 4, 0.93924137931, 3.03527498245
32, 8, 0.994206896552, 4.25079894066
32, 16, 0.942275862069, 6.85946106911
32, 32, 0.941931034483, 12.4672808647
